        L  W
  +100 14 11
  -101  3  2
  +101  3  6
  -102  0  3
  +102  2  5
  -103  2  2
  +103  3  7
  -104  1  0
  +104  4  3
  -105 15 19
  +105 11 14
  +106  6  1
  -107  0  3
  +107  8  4
  -108  3  2
  +108  7 14
  -109  2  1
  +109  6  3
  -110 20 21
  +110 18 16
  -111  4  3
  +111  6  5
  -112  4  0
  +112  4  6
  -113  3  6
  +113 11  4
  -114  4  3
  +114  3  3
  -115 16 14
  +115  8 13
  -116  3  1
  +116  3  6
  -117  3  0
  +117  3  4
  -118  8  5
  +118 15 10
  -119  3  3
  +119  4  3
  -120 12 12
  +120 14 17
  -121  2  4
  +121  5  4
  -122  1  3
  +122  5  4
  -123  5  2
  +123  3  4
  -124  1  3
  +124  4  5
  -125 11  6
  +125 18  7
  +126  3  4
  -127  2  2
  +127  3  2
  -128  7  3
  +128  7  5
  -129  3  1
  +129  2  3
  -130  3 17
  +130 14  8
  -131  1  4
  +131  0  2
  -132  1  1
  +132  2  1
  -133  2  2
  +133  7  5
  -134  1  1
  +134  9  1
  -135  9  1
  +135 15 10
  -136  3  1
  +136  3  0
  -137  0  2
  +137  1  7
  -138  3  7
  +138  6  1
  -139  2  2
  +139  3  0
  -140  3  8
  +140 14 14
  -141  1  3
  +141  0  2
  -142  0  1
  +142  5  3
  -143  1  5
  +143  2  3
  -144  0  1
  +144  1  1
  -145  4  5
  +145 11  9
  -146  0  2
  +146  2  2
  -147  0  1
  +147  3  0
  -148  1  4
  +148  8  3
  -149  1  0
  +149  2  1
  -150  3  4
  +150 14  9
  +151  2  2
  -152  2  1
  +152  3  3
  -153  0  2
  +153  5  2
  -154  0  1
  +154  2  0
  -155  2  2
  +155 10 10
  +156  3  1
  -157  1  1
  +157  1  0
  -158  0  2
  +158  7  4
  -159  1  1
  +159  1  0
  -160  4  5
  +160 10  4
  -161  0  1
  +161  2  4
  -162  1  2
  +162  3  3
  -163  1  0
  +163  2  4
  -164  1  0
  +164  1  0
  -165  1  5
  +165  4  6
  -166  2  1
  +166  2  1
  -167  0  3
  +167  1  1
  -168  2  2
  +168  4  1
  +169  1  3
  -170  0  4
  +170  8  4
  -171  0  1
  +171  1  1
  -172  1  1
  +172  1  1
  -173  0  2
  +173  1  0
  +174  1  0
  -175  0  3
  +175  3  2
  -176  1  0
  +176  1  0
  -177  0  1
  -178  2  1
  +178  2  0
  +179  2  0
  -180  1  2
  +180  4  4
  +181  1  0
  +182  1  0
  +183  2  1
  -184  0  1
  +184  1  1
  -185  2  3
  +185 10  2
  +186  1  0
  +187  1  0
  +188  1  0
  -190  1  3
  +190  1  2
  +191  1  0
  +192  1  0
  +193  1  0
  +194  7  2
  -195  1  1
  +196  2  1
  -199  0  1
  +199  6  0
  -200  0  3
  +200  0  1
  -202  1  0
  +203  6  6
  +205  1  0
  +206  1  0
  +207  6  2
  +210  0  1
  +212  1  2
  -215  0  1
  -218  0  1
  -219  0  1
  +220  1  2
  -225  1  0
  +225  1  1
  +229  2  1
  -230  1  1
  +233  3  0
  +237  1  1
  +240  1  0
  +242  4  0
  +245  2  1
  -250  0  1
  +250  2  0
  +253  1  0
  -255  0  1
  +255  1  1
  +260  2  3
  -265  0  1
  +268  0  2
  -270  2  1
  -275  0  1
  +288  1  0
  -295  0  1
  +305  1  0
  +335  1  0
