"","team.nm","tm.pit.h","opp.pit.h","home.wins","away.wins","home.loss","away.loss","hwp","awp"
"1","ARI","L","L",7,8,4,7,0.636363636363636,0.533333333333333
"2","ARI","L","R",12,10,9,7,0.571428571428571,0.588235294117647
"3","ARI","R","L",11,8,6,7,0.647058823529412,0.533333333333333
"4","ARI","R","R",21,15,10,19,0.67741935483871,0.441176470588235
"5","ATL","L","L",5,3,5,4,0.5,0.428571428571429
"6","ATL","L","R",6,9,12,12,0.333333333333333,0.428571428571429
"7","ATL","R","L",6,5,7,7,0.461538461538462,0.416666666666667
"8","ATL","R","R",19,18,20,23,0.487179487179487,0.439024390243902
"9","BAL","L","L",2,4,2,3,0.5,0.571428571428571
"10","BAL","L","R",6,4,5,8,0.545454545454545,0.333333333333333
"11","BAL","R","L",16,7,9,14,0.64,0.333333333333333
"12","BAL","R","R",22,14,19,26,0.536585365853659,0.35
"13","BOS","L","L",11,8,5,7,0.6875,0.533333333333333
"14","BOS","L","R",25,24,7,17,0.78125,0.585365853658537
"15","BOS","R","L",2,4,8,3,0.2,0.571428571428571
"16","BOS","R","R",10,9,12,9,0.454545454545455,0.5
"17","CHC","L","L",11,5,4,5,0.733333333333333,0.5
"18","CHC","L","R",20,21,16,14,0.555555555555556,0.6
"19","CHC","R","L",6,9,1,8,0.857142857142857,0.529411764705882
"20","CHC","R","R",11,9,11,10,0.5,0.473684210526316
"21","CHW","L","L",5,3,7,6,0.416666666666667,0.333333333333333
"22","CHW","L","R",15,11,15,15,0.5,0.423076923076923
"23","CHW","R","L",7,6,6,8,0.538461538461538,0.428571428571429
"24","CHW","R","R",11,7,14,24,0.44,0.225806451612903
"25","CIN","L","L",2,1,3,7,0.4,0.125
"26","CIN","L","R",5,7,6,7,0.454545454545455,0.5
"27","CIN","R","L",7,6,14,17,0.333333333333333,0.260869565217391
"28","CIN","R","R",25,14,19,21,0.568181818181818,0.4
"29","CLE","L","L",1,2,NA,NA,NA,NA
"30","CLE","L","R",NA,NA,NA,1,NA,NA
"31","CLE","R","L",16,22,16,11,0.5,0.666666666666667
"32","CLE","R","R",31,29,16,16,0.659574468085106,0.644444444444444
"33","COL","L","L",4,5,5,4,0.444444444444444,0.555555555555556
"34","COL","L","R",7,7,7,4,0.5,0.636363636363636
"35","COL","R","L",17,10,6,11,0.739130434782609,0.476190476190476
"36","COL","R","R",18,18,17,21,0.514285714285714,0.461538461538462
"37","DET","L","L",1,5,3,2,0.25,0.714285714285714
"38","DET","L","R",4,7,17,9,0.19047619047619,0.4375
"39","DET","R","L",9,7,8,16,0.529411764705882,0.304347826086957
"40","DET","R","R",20,11,19,24,0.512820512820513,0.314285714285714
"41","HOU","L","L",2,3,3,3,0.4,0.5
"42","HOU","L","R",10,14,5,4,0.666666666666667,0.777777777777778
"43","HOU","R","L",8,11,10,9,0.444444444444444,0.55
"44","HOU","R","R",28,25,15,11,0.651162790697674,0.694444444444444
"45","KCR","L","L",4,5,8,3,0.333333333333333,0.625
